Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Risungs;78490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1933-02-01 00:00:00;1971-10-31 23:59:59;20.0;57.8166;18.9333

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;63.5;Y
1949-09-01 06:00:01;1949-10-01 06:00:00;1949-09;10.8;Y
1949-10-01 06:00:01;1949-11-01 06:00:00;1949-10;27.5;Y
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;82.3;Y
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;105.0;G
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;64.1;Y
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;60.2;Y
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;7.5;Y
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;51.7;Y
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;19.7;Y
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;30.5;Y
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;35.3;Y
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;22.9;Y
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;66.1;Y
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;64.5;Y
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;97.3;Y
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;69.2;Y
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;65.7;Y
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;41.8;Y
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;51.2;Y
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;23.0;G
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;35.7;Y
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;25.6;Y
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;32.7;Y
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;50.5;Y
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;14.7;Y
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;10.2;Y
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;92.8;Y
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;28.5;Y
